
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000268                       # Number of seconds simulated (Second)
simTicks                                    268176000                       # Number of ticks simulated (Tick)
finalTick                                   331217000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     16.56                       # Real time elapsed on the host (Second)
hostTickRate                                 16197643                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     670792                       # Number of bytes of host memory used (Byte)
simInsts                                       464810                       # Number of instructions simulated (Count)
simOps                                         464814                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    28074                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      28074                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           268176                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.584076                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.712107                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          459765                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       26                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         459589                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      9                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                  643                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               564                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              265674                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.729898                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.100274                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     68683     25.85%     25.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                       168      0.06%     25.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    131163     49.37%     75.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     65588     24.69%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                        37      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                        27      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         8      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 6                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                265674                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
